chr	start	end	gene_ids	gene_symbols
chr1	585988	664620	ENSG00000248527;ENSG00000240409;ENSG00000237973;ENSG00000229344;ENSG00000198744;ENSG00000225972;ENSG00000225630	MTATP6P1;MTATP8P1;MTCO1P12;MTCO2P12;MTCO3P12;MTND1P23;MTND2P28
chr1	664620	744620	ENSG00000229376;ENSG00000284662;ENSG00000268663	CICP3;OR4F16;WBP1LP6
chr1	744620	2883435	ENSG00000131584;ENSG00000188157;ENSG00000235098;ENSG00000225905;ENSG00000197785;ENSG00000160072;ENSG00000215915;ENSG00000175756;ENSG00000176022;ENSG00000184163;ENSG00000131591;ENSG00000169885;ENSG00000221978;ENSG00000008128;ENSG00000248333;ENSG00000142609;ENSG00000224051;ENSG00000107404;ENSG00000162585;ENSG00000230368;ENSG00000177757;ENSG00000228594;ENSG00000187730;ENSG00000078369;ENSG00000231050;ENSG00000188290;ENSG00000197921;ENSG00000127054;ENSG00000187608;ENSG00000187961;ENSG00000225880;ENSG00000228794;ENSG00000223823;ENSG00000237491;ENSG00000225285;ENSG00000230415;ENSG00000223764;ENSG00000197530;ENSG00000207607;ENSG00000207730;ENSG00000198976;ENSG00000142606;ENSG00000237058;ENSG00000215914;ENSG00000189409;ENSG00000116151;ENSG00000242485;ENSG00000224870;ENSG00000272455;ENSG00000162576;ENSG00000008130;ENSG00000223663;ENSG00000188976;ENSG00000157881;ENSG00000187642;ENSG00000157911;ENSG00000149527;ENSG00000187583;ENSG00000067606;ENSG00000182873;ENSG00000226969;ENSG00000157870;ENSG00000169972;ENSG00000157916;ENSG00000264293;ENSG00000237330;ENSG00000223181;ENSG00000187634;ENSG00000162572;ENSG00000078808;ENSG00000157933;ENSG00000215790;ENSG00000189339;ENSG00000160075;ENSG00000169962;ENSG00000205090;ENSG00000178821;ENSG00000205116;ENSG00000157873;ENSG00000238164;ENSG00000186891;ENSG00000186827;ENSG00000215912;ENSG00000162571;ENSG00000205231;ENSG00000234711;ENSG00000160087;ENSG00000179403	ACAP3;AGRN;ANKRD65;ANKRD65-AS1;ATAD3A;ATAD3B;ATAD3C;AURKAIP1;B3GALT6;C1QTNF12;C1orf159;CALML6;CCNL2;CDK11A;CDK11B;CFAP74;CPTP;DVL1;FAAP20;FAM41C;FAM87B;FNDC10;GABRD;GNB1;GNB1-DT;HES4;HES5;INTS11;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC01770;LINC01786;LINC02593;MIB2;MIR200A;MIR200B;MIR429;MMEL1;MMEL1-AS1;MMP23A;MMP23B;MORN1;MRPL20;MRPL20-AS1;MRPL20-DT;MXRA8;NADK;NDUFB4P8;NOC2L;PANK4;PERM1;PEX10;PLCH2;PLEKHN1;PRKCZ;PRKCZ-AS1;PRKCZ-DT;PRXL2B;PUSL1;RER1;RN7SL657P;RNF223;RNU6-1199P;SAMD11;SCNN1D;SDF4;SKI;SLC35E2A;SLC35E2B;SSU72;TAS1R3;TMEM240;TMEM52;TMEM88B;TNFRSF14;TNFRSF14-AS1;TNFRSF18;TNFRSF4;TTC34;TTLL10;TTLL10-AS1;TUBB8P11;UBE2J2;VWA1
chr1	2883435	3363436	ENSG00000169717;ENSG00000142611;ENSG00000177133	ACTRT2;PRDM16;PRDM16-DT
chr1	3363436	3483436	ENSG00000130762;ENSG00000142611	ARHGEF16;PRDM16
chr1	3483436	3603436	ENSG00000162591;ENSG00000207776	MEGF6;MIR551A
chr1	4179940	4819940	ENSG00000196581;ENSG00000232596;ENSG00000235054	AJAP1;LINC01646;LINC01777
chr1	4819940	5339940	ENSG00000284674;ENSG00000231510	LINC02781;LINC02782
chr1	5339940	5499940	n/a	n/a
chr1	5499940	5779940	n/a	n/a
chr1	5779940	5939940	ENSG00000131697	NPHP4
