chr	start	end	gene_ids	gene_symbols
chr1	0	160000	ENSG00000237683.5;ENSG00000233750.3;ENSG00000223972.5;ENSG00000237613.2;ENSG00000243485.5;ENSG00000186092.7;ENSG00000240361.2;ENSG00000268020.3;ENSG00000222623.1;ENSG00000241860.7;ENSG00000239906.1;ENSG00000268903.1;ENSG00000269981.1;ENSG00000238009.6;ENSG00000239945.1;ENSG00000227232.5	AL627309.1;CICP27;DDX11L1;FAM138A;MIR1302-2HG;OR4F5;OR4G11P;OR4G4P;RNU6-1100P;RP11-34P13.13;RP11-34P13.14;RP11-34P13.15;RP11-34P13.16;RP11-34P13.7;RP11-34P13.8;WASH7P
chr1	520000	600000	ENSG00000248527.1;ENSG00000240409.1;ENSG00000237973.1;ENSG00000229344.1;ENSG00000198744.5;ENSG00000225972.1;ENSG00000225630.1;ENSG00000230021.10;ENSG00000235146.2	MTATP6P1;MTATP8P1;MTCO1P12;MTCO2P12;MTCO3P12;MTND1P23;MTND2P28;RP11-206L10.17;RP5-857K21.2
chr1	600000	680000	ENSG00000229376.3;ENSG00000284662.1;ENSG00000230021.10;ENSG00000228327.3;ENSG00000235373.1;ENSG00000268663.1	CICP3;OR4F16;RP11-206L10.17;RP11-206L10.2;RP11-206L10.3;WBP1LP6
chr1	680000	2800000	ENSG00000283259.1;ENSG00000285945.1;ENSG00000131584.19;ENSG00000188157.15;ENSG00000235098.9;ENSG00000197785.14;ENSG00000160072.20;ENSG00000215915.10;ENSG00000175756.13;ENSG00000176022.7;ENSG00000184163.3;ENSG00000131591.18;ENSG00000169885.10;ENSG00000221978.12;ENSG00000008128.23;ENSG00000248333.9;ENSG00000142609.19;ENSG00000224051.7;ENSG00000107404.20;ENSG00000162585.17;ENSG00000283040.1;ENSG00000230368.2;ENSG00000177757.2;ENSG00000228594.4;ENSG00000187730.9;ENSG00000078369.18;ENSG00000188290.11;ENSG00000197921.6;ENSG00000127054.21;ENSG00000187608.10;ENSG00000187961.14;ENSG00000225880.5;ENSG00000228794.10;ENSG00000223823.1;ENSG00000237491.10;ENSG00000225285.1;ENSG00000230415.1;ENSG00000223764.2;ENSG00000197530.13;ENSG00000207607.1;ENSG00000207730.1;ENSG00000198976.1;ENSG00000142606.16;ENSG00000237058.1;ENSG00000215914.4;ENSG00000189409.14;ENSG00000116151.14;ENSG00000242485.6;ENSG00000224870.7;ENSG00000272455.1;ENSG00000162576.17;ENSG00000008130.15;ENSG00000223663.2;ENSG00000188976.11;ENSG00000157881.16;ENSG00000187642.9;ENSG00000157911.11;ENSG00000149527.18;ENSG00000187583.11;ENSG00000067606.17;ENSG00000182873.5;ENSG00000157870.17;ENSG00000169972.12;ENSG00000157916.20;ENSG00000264293.1;ENSG00000237330.3;ENSG00000223181.1;ENSG00000231050.1;ENSG00000227775.3;ENSG00000268575.1;ENSG00000234396.3;ENSG00000287356.1;ENSG00000230021.10;ENSG00000285268.1;ENSG00000288531.1;ENSG00000228327.3;ENSG00000235373.1;ENSG00000229905.1;ENSG00000230092.7;ENSG00000272004.1;ENSG00000274481.1;ENSG00000286989.1;ENSG00000269737.2;ENSG00000272106.1;ENSG00000217801.10;ENSG00000272141.1;ENSG00000285812.1;ENSG00000233542.2;ENSG00000226969.1;ENSG00000230699.2;ENSG00000231702.2;ENSG00000224969.1;ENSG00000242590.1;ENSG00000272438.1;ENSG00000272512.1;ENSG00000273443.1;ENSG00000241180.1;ENSG00000233234.1;ENSG00000231630.1;ENSG00000287396.1;ENSG00000272449.2;ENSG00000224387.1;ENSG00000229393.1;ENSG00000225931.3;ENSG00000228037.1;ENSG00000272161.1;ENSG00000269896.2;ENSG00000272420.1;ENSG00000225905.1;ENSG00000215014.5;ENSG00000284740.1;ENSG00000240731.1;ENSG00000271806.1;ENSG00000260179.1;ENSG00000187634.13;ENSG00000162572.21;ENSG00000078808.19;ENSG00000157933.10;ENSG00000215790.8;ENSG00000189339.12;ENSG00000160075.12;ENSG00000169962.5;ENSG00000205090.9;ENSG00000178821.13;ENSG00000205116.4;ENSG00000157873.18;ENSG00000238164.6;ENSG00000186891.14;ENSG00000186827.11;ENSG00000215912.12;ENSG00000162571.14;ENSG00000205231.1;ENSG00000234711.1;ENSG00000160087.21;ENSG00000179403.12	ABC14-1188822O7.1;ABC14-1188822O7.2;ACAP3;AGRN;ANKRD65;ATAD3A;ATAD3B;ATAD3C;AURKAIP1;B3GALT6;C1QTNF12;C1orf159;CALML6;CCNL2;CDK11A;CDK11B;CFAP74;CPTP;DVL1;FAAP20;FAM166AP3;FAM41C;FAM87B;FNDC10;GABRD;GNB1;HES4;HES5;INTS11;ISG15;KLHL17;LINC00115;LINC01128;LINC01342;LINC01409;LINC01770;LINC01786;LINC02593;MIB2;MIR200A;MIR200B;MIR429;MMEL1;MMEL1-AS1;MMP23A;MMP23B;MORN1;MRPL20;MRPL20-AS1;MRPL20-DT;MXRA8;NADK;NDUFB4P8;NOC2L;PANK4;PERM1;PEX10;PLCH2;PLEKHN1;PRKCZ;PRKCZ-AS1;PRXL2B;PUSL1;RER1;RN7SL657P;RNF223;RNU6-1199P;RP1-140A9.1;RP1-283E3.4;RP1-283E3.8;RP11-181G12.4;RP11-181G12.8;RP11-206L10.17;RP11-206L10.18;RP11-206L10.19;RP11-206L10.2;RP11-206L10.3;RP11-206L10.4;RP11-206L10.8;RP11-345P4.10;RP11-345P4.11;RP11-345P4.12;RP11-345P4.6;RP11-345P4.9;RP11-465B22.3;RP11-465B22.8;RP11-465B22.9;RP11-547D24.1;RP11-547D24.3;RP11-54O7.1;RP11-54O7.10;RP11-54O7.11;RP11-54O7.14;RP11-54O7.16;RP11-54O7.17;RP11-54O7.18;RP11-54O7.2;RP11-740P5.2;RP11-740P5.3;RP11-740P5.4;RP3-395M20.12;RP3-395M20.2;RP3-395M20.3;RP3-395M20.7;RP3-395M20.9;RP4-713A8.1;RP4-740C4.5;RP4-740C4.7;RP4-758J18.7;RP5-832C2.5;RP5-832C2.8;RP5-890O3.9;RP5-892K4.1;RP5-902P8.12;SAMD11;SCNN1D;SDF4;SKI;SLC35E2A;SLC35E2B;SSU72;TAS1R3;TMEM240;TMEM52;TMEM88B;TNFRSF14;TNFRSF14-AS1;TNFRSF18;TNFRSF4;TTC34;TTLL10;TTLL10-AS1;TUBB8P11;UBE2J2;VWA1
chr1	2800000	3280000	ENSG00000169717.7;ENSG00000142611.17;ENSG00000177133.12;ENSG00000226286.1;ENSG00000279839.1;ENSG00000272235.1;ENSG00000287828.1;ENSG00000284745.1	ACTRT2;PRDM16;PRDM16-DT;RP1-163G9.2;RP11-193J6.1;RP11-22L13.1;RP4-785P20.3;RP5-907A6.1
chr1	3280000	3400000	ENSG00000130762.15;ENSG00000142611.17;ENSG00000286518.1	ARHGEF16;PRDM16;RP4-785P20.2
chr1	3400000	3520000	ENSG00000162591.16;ENSG00000207776.1;ENSG00000272088.1	MEGF6;MIR551A;RP11-168F9.2
chr1	3520000	3880000	ENSG00000264428.1;ENSG00000198912.12;ENSG00000162592.10;ENSG00000116198.14;ENSG00000169598.17;ENSG00000236423.6;ENSG00000130764.10;ENSG00000162591.16;ENSG00000266075.1;ENSG00000272153.1;ENSG00000238260.1;ENSG00000235169.11;ENSG00000078900.15;ENSG00000227372.12;ENSG00000235131.1;ENSG00000227589.1;ENSG00000158109.15;ENSG00000116213.16	AL691523.1;C1orf174;CCDC27;CEP104;DFFB;LINC01134;LRRC47;MEGF6;RN7SL574P;RP1-286D6.5;RP11-46F15.2;SMIM1;TP73;TP73-AS1;TP73-AS2;TP73-AS3;TPRG1L;WRAP73
chr1	3960000	4240000	ENSG00000229280.1;ENSG00000226374.3;ENSG00000233304.7;ENSG00000284668.2;ENSG00000284703.1	EEF1DP6;LINC01345;LINC01346;LINC02780;RP11-718D19.2
chr1	4240000	4880000	ENSG00000196581.11;ENSG00000232596.3;ENSG00000235054.4;ENSG00000227169.2;ENSG00000287586.1;ENSG00000284694.1	AJAP1;LINC01646;LINC01777;RP1-37J18.1;RP1-77N19.1;RP5-1166F10.2
